Produto;Preco Venda;Venda Qtd;Cidade;Latitude;Longitude;;
Energético;8,83;23;São Paulo;-23,55052;-46,63331;;
Amendoim;1,97;37;São Paulo;-23,55052;-46,63331;;
Suco;7,15;27;São Paulo;-23,55052;-46,63331;;
Refrigerante;6,12;29;São Paulo;-23,55052;-46,63331;;
Chiclete;3,61;34;São Paulo;-23,55052;-46,63331;;
Café Solúvel;5,7;30;São Paulo;-23,55052;-46,63331;;
Biscoito;4,98;31;São Paulo;-23,55052;-46,63331;;
Suco;3,28;34;São Paulo;-23,55052;-46,63331;;
Iogurte;1,78;37;São Paulo;-23,55052;-46,63331;;
Cup Noodles;10,14;21;São Paulo;-23,55052;-46,63331;;
Cereal;6,21;29;São Paulo;-23,55052;-46,63331;;
Bala;8,11;25;São Paulo;-23,55052;-46,63331;;
Presunto;6,26;29;São Paulo;-23,55052;-46,63331;;
Presunto;2,12;37;São Paulo;-23,55052;-46,63331;;
Sorvete;2,52;36;São Paulo;-23,55052;-46,63331;;
Bala;7,63;26;São Paulo;-23,55052;-46,63331;;
Amendoim;10,94;19;São Paulo;-23,55052;-46,63331;;
Café Solúvel;4,2;33;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;8,29;24;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,34;26;São Paulo;-23,55052;-46,63331;;
Biscoito;5,41;30;São Paulo;-23,55052;-46,63331;;
Bala;5;31;São Paulo;-23,55052;-46,63331;;
Sorvete;5,12;31;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;4,92;31;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Jundiaí;-23,18548;-46,89784;;
Queijo Processado;3,91;33;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;4,84;31;São Paulo;-23,55052;-46,63331;;
Refrigerante;4,93;31;São Paulo;-23,55052;-46,63331;;
Presunto;2,18;37;São Paulo;-23,55052;-46,63331;;
Energético;4,4;32;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;1,81;37;São Paulo;-23,55052;-46,63331;;
Queijo Processado;4,25;33;São Paulo;-23,55052;-46,63331;;
Iogurte;3,86;33;São Paulo;-23,55052;-46,63331;;
Refrigerante;9,51;22;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Campinas;-22,90994;-47,06263;;
Cereal;2,99;35;São Paulo;-23,55052;-46,63331;;
Biscoito;7,92;25;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Campinas;-22,90994;-47,06263;;
Pão de Forma;6,8;27;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,65;36;São Paulo;-23,55052;-46,63331;;
Cereal;7,64;26;São Paulo;-23,55052;-46,63331;;
Suco;7,81;25;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,5;26;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Jundiaí;-23,18548;-46,89784;;
Refrigerante;5,34;30;São Paulo;-23,55052;-46,63331;;
Bala;8,76;24;São Paulo;-23,55052;-46,63331;;
Queijo Processado;7,05;27;São Paulo;-23,55052;-46,63331;;
Presunto;7,21;27;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;4,83;31;São Paulo;-23,55052;-46,63331;;
Amendoim;4,46;32;São Paulo;-23,55052;-46,63331;;
Refrigerante;7,35;26;São Paulo;-23,55052;-46,63331;;
Refrigerante;2,51;36;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,07;27;São Paulo;-23,55052;-46,63331;;
Cereal;5,48;30;São Paulo;-23,55052;-46,63331;;
Biscoito;3,06;35;São Paulo;-23,55052;-46,63331;;
Queijo Processado;1,75;38;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;7,32;26;São Paulo;-23,55052;-46,63331;;
Chiclete;5,78;29;São Paulo;-23,55052;-46,63331;;
Biscoito;4,21;33;São Paulo;-23,55052;-46,63331;;
Presunto;3,96;33;São Paulo;-23,55052;-46,63331;;
Suco;5,02;31;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;6,99;27;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,37;26;São Paulo;-23,55052;-46,63331;;
Presunto;7,49;26;São Paulo;-23,55052;-46,63331;;
Iogurte;9,92;21;São Paulo;-23,55052;-46,63331;;
Presunto;2,85;35;São Paulo;-23,55052;-46,63331;;
Presunto;6,89;27;São Paulo;-23,55052;-46,63331;;
Energético;2,94;35;São Paulo;-23,55052;-46,63331;;
Cereal;7,17;27;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Campinas;-22,90994;-47,06263;;
Chocolate;7,21;27;São Paulo;-23,55052;-46,63331;;
Batata Chips;7,02;27;São Paulo;-23,55052;-46,63331;;
Pão de Forma;4,51;32;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Araraquara;-21,78528;-48,17806;;
Manteiga;8,31;24;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Jundiaí;-23,18548;-46,89784;;
Bala;3,41;34;São Paulo;-23,55052;-46,63331;;
Chiclete;6,8;27;São Paulo;-23,55052;-46,63331;;
Bala;5,65;30;São Paulo;-23,55052;-46,63331;;
Bala;2,52;36;São Paulo;-23,55052;-46,63331;;
Sorvete;4,54;32;São Paulo;-23,55052;-46,63331;;
Cereal;5,39;30;São Paulo;-23,55052;-46,63331;;
Iogurte;7,13;27;São Paulo;-23,55052;-46,63331;;
Cereal;2,26;37;São Paulo;-23,55052;-46,63331;;
Café Solúvel;5,14;31;São Paulo;-23,55052;-46,63331;;
Sorvete;5,13;31;São Paulo;-23,55052;-46,63331;;
Biscoito;6,73;28;São Paulo;-23,55052;-46,63331;;
Chiclete;1,93;37;São Paulo;-23,55052;-46,63331;;
Manteiga;7,65;26;São Paulo;-23,55052;-46,63331;;
Cereal;3;35;São Paulo;-23,55052;-46,63331;;
Refrigerante;8,98;23;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Campinas;-22,90994;-47,06263;;
Cup Noodles;3,9;33;São Paulo;-23,55052;-46,63331;;
Cup Noodles;2,35;36;São Paulo;-23,55052;-46,63331;;
Chiclete;6,05;29;São Paulo;-23,55052;-46,63331;;
Bala;10,29;20;São Paulo;-23,55052;-46,63331;;
Sorvete;4,48;32;São Paulo;-23,55052;-46,63331;;
Pão de Forma;1,79;37;São Paulo;-23,55052;-46,63331;;
Refrigerante;6,34;28;São Paulo;-23,55052;-46,63331;;
Bala;8,05;25;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;9,41;22;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,81;31;São Paulo;-23,55052;-46,63331;;
Iogurte;2,28;36;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Araraquara;-21,78528;-48,17806;;
Chocolate;4,41;32;São Paulo;-23,55052;-46,63331;;
Manteiga;1,88;37;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Araraquara;-21,78528;-48,17806;;
Bolacha Recheada;2,87;35;São Paulo;-23,55052;-46,63331;;
Cereal;3,56;34;São Paulo;-23,55052;-46,63331;;
Refrigerante;4,46;32;São Paulo;-23,55052;-46,63331;;
Biscoito;2,66;36;São Paulo;-23,55052;-46,63331;;
Pão de Forma;3,43;34;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,37;36;São Paulo;-23,55052;-46,63331;;
Presunto;3,54;34;São Paulo;-23,55052;-46,63331;;
Sorvete;10,55;20;São Paulo;-23,55052;-46,63331;;
Chocolate;3,37;34;São Paulo;-23,55052;-46,63331;;
Amendoim;4,02;33;São Paulo;-23,55052;-46,63331;;
Queijo Processado;8,07;25;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,08;37;São Paulo;-23,55052;-46,63331;;
Biscoito;5,96;29;São Paulo;-23,55052;-46,63331;;
Sorvete;8,56;24;São Paulo;-23,55052;-46,63331;;
Cereal;7,77;26;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;9,41;22;São Paulo;-23,55052;-46,63331;;
Manteiga;3,92;33;São Paulo;-23,55052;-46,63331;;
Iogurte;3,73;34;São Paulo;-23,55052;-46,63331;;
Batata Chips;3,53;34;São Paulo;-23,55052;-46,63331;;
Suco;5,93;29;São Paulo;-23,55052;-46,63331;;
Cereal;5,72;30;São Paulo;-23,55052;-46,63331;;
Chiclete;8,32;24;São Paulo;-23,55052;-46,63331;;
Queijo Processado;3,26;35;São Paulo;-23,55052;-46,63331;;
Refrigerante;5,05;31;São Paulo;-23,55052;-46,63331;;
Chocolate;8,05;25;São Paulo;-23,55052;-46,63331;;
Batata Chips;2,1;37;São Paulo;-23,55052;-46,63331;;
Pão de Forma;4,76;32;São Paulo;-23,55052;-46,63331;;
Suco;6,81;27;São Paulo;-23,55052;-46,63331;;
Refrigerante;3,43;34;São Paulo;-23,55052;-46,63331;;
Cup Noodles;8,74;24;São Paulo;-23,55052;-46,63331;;
Iogurte;2,57;36;São Paulo;-23,55052;-46,63331;;
Chiclete;7,91;25;São Paulo;-23,55052;-46,63331;;
Iogurte;8,26;25;São Paulo;-23,55052;-46,63331;;
Café Solúvel;6,76;28;São Paulo;-23,55052;-46,63331;;
Suco;2,97;35;São Paulo;-23,55052;-46,63331;;
Chiclete;2,97;35;São Paulo;-23,55052;-46,63331;;
Pão de Forma;4,09;33;São Paulo;-23,55052;-46,63331;;
Biscoito;3,3;34;São Paulo;-23,55052;-46,63331;;
Iogurte;8,18;25;São Paulo;-23,55052;-46,63331;;
Suco;6,22;29;São Paulo;-23,55052;-46,63331;;
Pão de Forma;2,81;35;São Paulo;-23,55052;-46,63331;;
Amendoim;5,71;30;São Paulo;-23,55052;-46,63331;;
Biscoito;3,83;33;São Paulo;-23,55052;-46,63331;;
Batata Chips;2,48;36;São Paulo;-23,55052;-46,63331;;
Pão de Forma;6,34;28;São Paulo;-23,55052;-46,63331;;
Suco;9,84;21;São Paulo;-23,55052;-46,63331;;
Biscoito;7,92;25;São Paulo;-23,55052;-46,63331;;
Bala;4,94;31;São Paulo;-23,55052;-46,63331;;
Café Solúvel;6,97;27;São Paulo;-23,55052;-46,63331;;
Manteiga;2,86;35;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Ribeirão Preto;-21,17666;-47,82083;;
Chocolate;2,45;36;São Paulo;-23,55052;-46,63331;;
Água Mineral;1;37;Araraquara;-21,78528;-48,17806;;
Pão de Forma;3,87;33;São Paulo;-23,55052;-46,63331;;
Chocolate;4,24;33;São Paulo;-23,55052;-46,63331;;
Presunto;8,51;24;São Paulo;-23,55052;-46,63331;;
Chocolate;4,83;31;São Paulo;-23,55052;-46,63331;;
Iogurte;3,44;34;São Paulo;-23,55052;-46,63331;;
Pão de Forma;3,64;34;São Paulo;-23,55052;-46,63331;;
Energético;5,7;30;São Paulo;-23,55052;-46,63331;;
Batata Chips;6,1;29;São Paulo;-23,55052;-46,63331;;
Batata Chips;3,98;33;São Paulo;-23,55052;-46,63331;;
Energético;9,17;23;São Paulo;-23,55052;-46,63331;;
Chiclete;3,86;33;São Paulo;-23,55052;-46,63331;;
Manteiga;4,32;32;São Paulo;-23,55052;-46,63331;;
Chiclete;6,31;28;São Paulo;-23,55052;-46,63331;;
Energético;3,92;33;São Paulo;-23,55052;-46,63331;;
Amendoim;1,85;37;São Paulo;-23,55052;-46,63331;;
Café Solúvel;3,35;34;São Paulo;-23,55052;-46,63331;;
Chocolate;7,44;26;São Paulo;-23,55052;-46,63331;;
Cup Noodles;8,39;24;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;4,16;33;São Paulo;-23,55052;-46,63331;;
Chocolate;3,82;33;São Paulo;-23,55052;-46,63331;;
Iogurte;3,03;35;São Paulo;-23,55052;-46,63331;;
Biscoito;7,38;26;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;8,69;24;São Paulo;-23,55052;-46,63331;;
Pão de Forma;9,31;22;São Paulo;-23,55052;-46,63331;;
Refrigerante;3,45;34;São Paulo;-23,55052;-46,63331;;
Energético;1,57;38;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;5,92;29;São Paulo;-23,55052;-46,63331;;
Sorvete;4,51;32;São Paulo;-23,55052;-46,63331;;
Pão de Forma;7,14;27;São Paulo;-23,55052;-46,63331;;
Amendoim;3,15;35;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,99;27;São Paulo;-23,55052;-46,63331;;
Iogurte;8,94;23;São Paulo;-23,55052;-46,63331;;
Presunto;7,82;25;São Paulo;-23,55052;-46,63331;;
Batata Chips;8,14;25;São Paulo;-23,55052;-46,63331;;
Batata Chips;6,37;28;São Paulo;-23,55052;-46,63331;;
Pão de Forma;2,86;35;São Paulo;-23,55052;-46,63331;;
Iogurte;3,3;34;São Paulo;-23,55052;-46,63331;;
Amendoim;7,18;27;São Paulo;-23,55052;-46,63331;;
Manteiga;7,01;27;São Paulo;-23,55052;-46,63331;;
Biscoito;8,24;25;São Paulo;-23,55052;-46,63331;;
Energético;8,32;24;São Paulo;-23,55052;-46,63331;;
Queijo Processado;4,95;31;São Paulo;-23,55052;-46,63331;;
Cereal;4,67;32;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;4,1;33;São Paulo;-23,55052;-46,63331;;
Chiclete;7,16;27;São Paulo;-23,55052;-46,63331;;
Cereal;2,29;36;São Paulo;-23,55052;-46,63331;;
Amendoim;2,46;36;São Paulo;-23,55052;-46,63331;;
Sorvete;3,02;35;São Paulo;-23,55052;-46,63331;;
Suco;5,7;30;São Paulo;-23,55052;-46,63331;;
Amendoim;8,24;25;São Paulo;-23,55052;-46,63331;;
Cup Noodles;9,06;23;São Paulo;-23,55052;-46,63331;;
Sorvete;8,29;24;São Paulo;-23,55052;-46,63331;;
Energético;3,35;34;São Paulo;-23,55052;-46,63331;;
Biscoito;8,01;25;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,89;35;São Paulo;-23,55052;-46,63331;;
Biscoito;7,36;26;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,02;33;São Paulo;-23,55052;-46,63331;;
Cereal;4,33;32;São Paulo;-23,55052;-46,63331;;
Presunto;9,4;22;São Paulo;-23,55052;-46,63331;;
Presunto;8,91;23;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;6,89;27;São Paulo;-23,55052;-46,63331;;
Chiclete;5,5;30;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Ribeirão Preto;-21,17666;-47,82083;;
Café Solúvel;5,65;30;São Paulo;-23,55052;-46,63331;;
Suco;3,31;34;São Paulo;-23,55052;-46,63331;;
Café Solúvel;6,43;28;São Paulo;-23,55052;-46,63331;;
Cup Noodles;5,84;29;São Paulo;-23,55052;-46,63331;;
Chocolate;5,92;29;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Ribeirão Preto;-21,17666;-47,82083;;
Cup Noodles;8,73;24;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,19;29;São Paulo;-23,55052;-46,63331;;
Chocolate;3,63;34;São Paulo;-23,55052;-46,63331;;
Café Solúvel;9,86;21;São Paulo;-23,55052;-46,63331;;
